domain,page,website,IXOprice,currentPrice,ROI,discord_urls,twitter_urls,telegram_urls,ticktok_urls,instagram_urls,facebook_urls,youtube_urls,github_urls,linkedin_urls
ertha.io,https://cryptorank.io/ico/ertha,https://ertha.io?utm_source=cryptorank,0.018,0.260,14.45,,https://twitter.com/ErthaGame,https://t.me/Erthium,,,https://www.facebook.com/Erthium/,https://www.youtube.com/channel/UCHiXL-GSDqd9jIa1hsr20Kw,,https://www.linkedin.com/company/erthium
decimated.net,https://cryptorank.io/ico/decimated,https://www.decimated.net/?utm_source=cryptorank,0.05,0.540,10.79,,https://twitter.com/decimated_game,https://t.me/decimatedofficial,,,https://www.facebook.com/DecimatedOfficial/,https://www.youtube.com/decimatedvideogame,,
meanfi.com,https://cryptorank.io/ico/mean-fi,https://www.meanfi.com?utm_source=cryptorank,2.15,1.33,0.62,,https://twitter.com/meanfinance,https://t.me/CryptoRankNews,,,,,,
listing.theparallel.io,https://cryptorank.io/ico/the-parallel,https://listing.theparallel.io?utm_source=cryptorank,0.04,0.671,16.78,,https://twitter.com/theparallel_io,https://t.me/theparallelofficial,,,https://www.facebook.com/theparallel.io/,https://www.youtube.com/channel/UCKvlkWCeNDEgxa41k1wBZYA,,
worldofdefish.com,https://cryptorank.io/ico/world-of-defish,https://worldofdefish.com/?utm_source=cryptorank,0.026,0.0775,2.98,,https://twitter.com/WorldOfDefish,https://t.me/worldofdefish,,,,,,https://www.linkedin.com/company/world-of-defish
escrowprotocol.app,https://cryptorank.io/ico/escrow-protocol,https://www.escrowprotocol.app/?utm_source=cryptorank,0.05,0.0363,0.73,,https://twitter.com/EscrowProtocol,https://t.me/Escrow_Protocol_Chat,,,https://www.facebook.com/TheEscrowProtocol,https://www.youtube.com/channel/UCRu2OSRV6gMWStoWCgXyiuw,,
angelscreed.com,https://cryptorank.io/ico/angels-creed,https://www.angelscreed.com/?utm_source=cryptorank,0.01,0.016,1.6,,https://twitter.com/angelscreedgame,https://t.me/angelscreedofficial,,,,,,
battlesaga.io,https://cryptorank.io/ico/battle-saga,https://www.battlesaga.io?utm_source=cryptorank,0.120,0.0755,0.63,,https://twitter.com/BattleSagaio,https://t.me/BattleSaga_Official,,,,,,
cherry.network,https://cryptorank.io/ico/cherry-network,https://www.cherry.network/?utm_source=cryptorank,0.036,0.368,10.23,,https://twitter.com/Cherry_Network,https://t.me/cherrynetwork,,,,,https://github.com/CherryNetwork/,https://www.linkedin.com/company/cherrynetwork/
billionaireplus.io,https://cryptorank.io/ico/billionaire-plus,https://billionaireplus.io?utm_source=cryptorank,0.0015,0.00215,1.43,,https://twitter.com/bplusmetaverse,https://t.me/bplusmetaverseofficial,,,,https://www.youtube.com/channel/UCUVJUfnQaaofoejTG7HzFfQ,,
spacecrypto.io,https://cryptorank.io/ico/spacecrypto,https://www.spacecrypto.io/?utm_source=cryptorank,0.025,1.14,45.5,,https://twitter.com/SpaceCryptoGame,https://t.me/SpaceCryptoGlobal,,,https://www.facebook.com/spacecryptogame,,,
sentre.io,https://cryptorank.io/ico/sentre,https://sentre.io/#/home?utm_source=cryptorank,0.0543,0.028,0.52,,https://twitter.com/SentreProtocol,https://t.me/Sentre,,,,,,
unq.club,https://cryptorank.io/ico/unqclub,https://unq.club/#/?utm_source=cryptorank,0.053,0.0965,1.82,,https://twitter.com/ClubUnq,https://t.me/unq_community,,,,,,
bithotel.io,https://cryptorank.io/ico/bit-hotel,https://bithotel.io/#/?utm_source=cryptorank,0.017,0.163,9.56,,https://twitter.com/playbithotel,https://t.me/bithotelcommunity,,,,,,
piratera.io,https://cryptorank.io/ico/piratera,https://piratera.io/?utm_source=cryptorank,0.012,0.0292,2.44,,https://twitter.com/PirateraBay,https://t.me/officialpiratera,,,https://www.facebook.com/piratera.official,,,
imperiumempires.com,https://cryptorank.io/ico/imperium-empires,https://imperiumempires.com/?utm_source=cryptorank,0.0045,0.0357,7.94,,https://twitter.com/ImperiumEmpires,https://t.me/ImperiumEmpiresofficial,,,,,,
cowboysnake.com,https://cryptorank.io/ico/cowboy-snake,https://cowboysnake.com/?utm_source=cryptorank,0.035,0.0868,2.48,,https://twitter.com/CowboySnake,https://t.me/CryptoRankNews,,,https://m.facebook.com/CowboysnakeNFTGame,https://www.youtube.com/channel/UCI571VLVWoLcVtU60hRDrlw,,
diviner.me,https://cryptorank.io/ico/diviner-protocol,https://www.diviner.me/?utm_source=cryptorank,0.025,0.0447,1.79,,https://twitter.com/DivinerProtocol,https://t.me/DivinerProtocolOfficial,,,,,,
gamespad.io,https://cryptorank.io/ico/games-pad,https://gamespad.io?utm_source=cryptorank,0.055,1.15,20.96,,https://twitter.com/gamespad_vc,https://t.me/GamesPadAnnouncements,,,https://www.facebook.com/gamespad.vc,https://www.youtube.com/channel/UCgl9viZgL3_07spR8ObFiqQ,,
studyum.org,https://cryptorank.io/ico/studyum,https://www.studyum.org/?utm_source=cryptorank,0.100,0.0369,0.37,,https://twitter.com/Studyum_org,https://t.me/Studyum_Crypto_Chat,,,https://www.facebook.com/studyum.io,,https://github.com/STUDYUM,https://www.linkedin.com/company/studyumfoundation/
destinyworld.io,https://cryptorank.io/ico/stay-in-destiny-world,https://destinyworld.io/?utm_source=cryptorank,0.06,0.0762,1.27,,https://twitter.com/siwdestinyworld/,https://t.me/stayindestinyworld_official,,,https://www.facebook.com/groups/stayindestinyworld,,,
gravitonzero.com,https://cryptorank.io/ico/graviton-zero,https://gravitonzero.com/?utm_source=cryptorank,0.100,0.0791,0.79,,https://twitter.com/GravitonZero,https://t.me/GravitonZero,,,,https://www.youtube.com/channel/UCZXeMJRMoG521r4Yfid4J9Q,,
izumi.finance,https://cryptorank.io/ico/izumi-finance,https://izumi.finance/home?utm_source=cryptorank,0.04,0.0884,2.21,,https://twitter.com/izumi_Finance,,,,,,,
mousehaunt.com,https://cryptorank.io/ico/mouse-haunt,https://mousehaunt.com?utm_source=cryptorank,0.200,1.82,9.1,,https://twitter.com/mousehaunt,,,,,,,
calo.run,https://cryptorank.io/ico/calo,https://calo.run/?utm_source=cryptorank,0.035,0.206,5.89,,https://twitter.com/AppCalo,https://t.me/caloappchannel,,,,,,
orengame.com,https://cryptorank.io/ico/oren-game,https://www.orengame.com/?utm_source=cryptorank,0.06,0.0677,1.13,,https://mobile.twitter.com/orengame,https://t.me/oren_game,,,,,https://github.com/orengame/OREN-Game,
tribeland.io,https://cryptorank.io/ico/tribe-land,https://tribeland.io/index.html?utm_source=cryptorank,0.01,0.00295,0.29,,https://twitter.com/tribe_land,https://t.me/tribe_land,,,,,,
magiccraft.io,https://cryptorank.io/ico/magiccraft,https://magiccraft.io/?utm_source=cryptorank,0.006,0.0471,7.85,,https://twitter.com/MagicCraftGame,https://t.me/magiccraftgamechat,,,,,,
mymessage.io,https://cryptorank.io/ico/mymessage,https://mymessage.io/?utm_source=cryptorank,1.80e-6,2.61e-6,1.45,,https://twitter.com/myMessageOS,https://t.me/mymessageEN,,,,,https://github.com/myMessageio,
ecio.space,https://cryptorank.io/ico/ecio,https://ecio.space/?utm_source=cryptorank,0.0025,0.00581,2.33,,https://twitter.com/ECIOspace,https://t.me/eciospace,,,https://www.facebook.com/eciospace,https://www.youtube.com/watch?v=0shA0Ece9zE,,
crafting.finance,https://cryptorank.io/ico/crafting-finance,https://crafting.finance/?utm_source=cryptorank,0.04,0.139,3.49,,https://twitter.com/craftingfinance,https://t.me/craftingfinanceofficialgroup,,,,,https://github.com/craftingfinance,
totem.earth,https://cryptorank.io/ico/totem,https://www.totem.earth/?utm_source=cryptorank,0.05,0.136,2.71,,https://twitter.com/totemearth,https://t.me/totemteam,,,,,,
cryptofightclub.io,https://cryptorank.io/ico/crypto-fight-club,https://www.cryptofightclub.io/?utm_source=cryptorank,0.02,0.0589,2.94,,https://twitter.com/CFCFIGHTING,https://t.me/CryptoFightClubChat,,,,,,
label.foundation,https://cryptorank.io/ico/label,http://label.foundation/?utm_source=cryptorank,0.003,0.0122,4.05,,https://twitter.com/LABELFoundation,https://t.me/LABEL_foundation,,,https://www.facebook.com/labelfoundation,,https://github.com/label-foundation/Smartcontract,https://www.linkedin.com/company/label-project
chumbivalley.com,https://cryptorank.io/ico/chumbi-valley,https://chumbivalley.com?utm_source=cryptorank,0.001,0.0824,82.45,,https://twitter.com/ChumbiValley,https://t.me/CryptoRankNews,,,https://www.facebook.com/chumbivalley,,,
wizarre.io,https://cryptorank.io/ico/wizarre,https://wizarre.io/token?utm_source=cryptorank,0.00095,0.00169,1.77,,https://twitter.com/WizarreGame,https://t.me/WizarreGame,,,,,,
rmg.io,https://cryptorank.io/ico/rainmaker-games,https://rmg.io?utm_source=cryptorank,0.250,0.880,3.52,,https://twitter.com/CryptoRank_io,https://t.me/RainMakerGames,,,https://www.facebook.com/RainmakerDAO/,,,https://www.linkedin.com/company/rainmaker-games
prism.ag,https://cryptorank.io/ico/prism,https://prism.ag/?utm_source=cryptorank,0.0025,0.0216,8.63,,https://twitter.com/prism_ag,https://t.me/CryptoRankNews,,,,,,
getsafle.com,https://cryptorank.io/ico/safle,https://getsafle.com/?utm_source=cryptorank,0.110,0.102,0.92,,https://twitter.com/GetSafle,https://t.me/safleann,,,,,https://github.com/GetSafle,
metasoccer.com,https://cryptorank.io/ico/metasoccer,https://metasoccer.com/?utm_source=cryptorank,0.03,0.119,3.97,,https://twitter.com/MetaSoccer_EN,https://t.me/MetaSoccerOfficial,,,,,,
wam.app,https://cryptorank.io/ico/wam,https://wam.app?utm_source=cryptorank,0.02,0.127,6.37,,https://twitter.com/wamcoin,https://t.me/wamapp,,,,,,
sidusheroes.com,https://cryptorank.io/ico/sidus-heroes,https://sidusheroes.com?utm_source=cryptorank,0.0018,0.152,84.51,,https://twitter.com/galaxy_sidus,https://t.me/sidus_heroes_channel,,,,https://www.youtube.com/channel/UCK3TsqpWwMkve49sOZD_gmg,,
metagods.gg,https://cryptorank.io/ico/metagods,https://metagods.gg/?utm_source=cryptorank,0.045,0.721,16.03,,https://twitter.com/PlayMetaGods,https://t.me/MetaGods,,,,,,
sidusheroes.com,https://cryptorank.io/ico/sidus-heroes-senate,https://sidusheroes.com?utm_source=cryptorank,0.180,4.91,27.29,,https://twitter.com/galaxy_sidus,https://t.me/sidus_heroes_channel,,,,https://www.youtube.com/channel/UCK3TsqpWwMkve49sOZD_gmg,,
domionline.io,https://cryptorank.io/ico/domi-online,https://domionline.io/?utm_source=cryptorank,0.024,0.0983,4.1,,https://twitter.com/DomiOnline,https://t.me/domionlineofficial,,,https://www.facebook.com/DomiOnlineOfficial,,,
roboots.io,https://cryptorank.io/ico/roboots,https://www.roboots.io?utm_source=cryptorank,0.004,0.00607,1.52,,https://twitter.com/robootsio,https://t.me/RobootsCommunity,,,,,,
phantasia.app,https://cryptorank.io/ico/phantasia,https://phantasia.app?utm_source=cryptorank,0.075,0.146,1.95,,https://twitter.com/PhantasiaSports,https://t.me/phantasiasports,,,,,,
h3ro3s.org,https://cryptorank.io/ico/h-3-ro-3-s,https://h3ro3s.org/?utm_source=cryptorank,0.01,0.037,3.7,,https://twitter.com/H3RO3SCOIN,https://t.me/coinh3ro3s,,,,,,
geopoly.io,https://cryptorank.io/ico/geopoly,https://geopoly.io?utm_source=cryptorank,0.02,0.0332,1.66,,https://twitter.com/Geopoly_Game,https://t.me/Geopoly_Game,,,,https://www.youtube.com/channel/UC8wAdUp3c5ymz1FFepD9ZsA,,
gamesta.ai,https://cryptorank.io/ico/gamesta,https://gamesta.ai?utm_source=cryptorank,0.08,0.0739,0.92,,https://twitter.com/gamestaguild,https://t.me/gamestaguild,,,,,,
goinfluencer.io,https://cryptorank.io/ico/goinfluencer,https://www.goinfluencer.io?utm_source=cryptorank,0.01,0.00641,: ,,https://twitter.com/GO_Influencer,https://t.me/GOinfluencer_Official,,,,,,https://www.linkedin.com/company/goinfluencer
voxies.io,https://cryptorank.io/ico/voxies,https://voxies.io?utm_source=cryptorank,0.200,3.35,16.76,,https://twitter.com/VoxiesNFT/,https://t.me/CryptoRankNews,,,,,,
fancybirds.io,https://cryptorank.io/ico/fancy-games,https://www.fancybirds.io/?utm_source=cryptorank,0.05,0.856,17.11,,https://twitter.com/Fancybirdsio,https://t.me/FancyBirdsAnnouncements,,,,,,
unbound.finance,https://cryptorank.io/ico/unbound-finance,https://www.unbound.finance?utm_source=cryptorank,0.012,0.0216,1.8,,https://twitter.com/unboundfinance,https://t.me/unboundfinance,,,,,https://github.com/unbound-finance/,
platypus.finance,https://cryptorank.io/ico/platypus-finance,https://platypus.finance/?utm_source=cryptorank,0.100,1.96,19.62,,https://twitter.com/Platypusdefi,https://t.me/Platypusdefi,,,,,,
hashtagger.com,https://cryptorank.io/ico/hashtagger,https://hashtagger.com/?utm_source=cryptorank,0.800,0.291,0.36,,https://twitter.com/HashtaggerHQ,https://t.me/HashtaggerOfficial,,,,,,
snapex.com,https://cryptorank.io/ico/snapex,https://www.snapex.com/?utm_source=cryptorank,0.025,0.034,1.36,,https://twitter.com/snapexofficial,https://t.me/snapex_en,,,https://www.facebook.com/snapextech,https://www.youtube.com/c/SnapExOfficial,,https://www.linkedin.com/company/snapexofficial/
nitroleague.com,https://cryptorank.io/ico/nitro-league,https://www.nitroleague.com/?utm_source=cryptorank,0.06,0.0901,1.5,,https://twitter.com/nitroleaguegame,https://t.me/nitroleaguegame,,,,,,
fishingtown.io,https://cryptorank.io/ico/fishing-town,https://fishingtown.io?utm_source=cryptorank,0.05,0.176,3.52,,https://twitter.com/FishingTownbsc,https://t.me/fishingtownofficial,,,https://www.facebook.com/Fishingtownbsc2021/,,,
hololoot.io,https://cryptorank.io/ico/hololoot,https://www.hololoot.io/press/?utm_source=cryptorank,0.200,0.747,3.74,,https://twitter.com/hololoot,https://t.me/hololoot_chat,,,,,,
blockchainspace.asia,https://cryptorank.io/ico/blockchainspace,https://www.blockchainspace.asia/?utm_source=cryptorank,0.517,0.535,1.03,,https://twitter.com/Blockchain_SPC,https://t.me/CryptoRankNews,,,,,,
manufactory.gg,https://cryptorank.io/ico/manufactory,https://manufactory.gg?utm_source=cryptorank,0.03,0.0897,2.99,,https://twitter.com/ManuFactoryGG,,,,,,,
metabrands.io,https://cryptorank.io/ico/metabrands,https://metabrands.io?utm_source=cryptorank,0.100,0.446,4.46,,https://twitter.com/MetaBrandsio,https://t.me/MetaBrands,,,,,,
deflyball.com,https://cryptorank.io/ico/defly-ball,https://deflyball.com/?utm_source=cryptorank,0.100,0.0581,0.58,,https://twitter.com/DeflyBall,https://t.me/deflyball_official,,,,,,https://www.linkedin.com/company/deflyball/
metavpad.com,https://cryptorank.io/ico/metavpad,https://metavpad.com/?utm_source=cryptorank,0.001,0.353,353.32,,https://twitter.com/MetaVPad,https://t.me/metavpadann,,,,,,
realy.pro,https://cryptorank.io/ico/realy,https://realy.pro/#/home?utm_source=cryptorank,1,10.36,10.36,,https://twitter.com/RealyOfficial,https://t.me/realyofficial,,,,,,
